titulo,autor,genero,nota,n_aval,leram,lendo,querem_ler,relendo,abandonaram,favoritos,n_resenhas
Estilhaça-me #1,Tahereh Mafi,Distopia / Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,4.0,61085,95473,6331,77061,251,1956,5898,8272
A Moreninha (Série Bom Livro),Joaquim Manuel de Macedo,Literatura Brasileira / Ficção / Romance ,3.6,25641,102238,526,5740,57,1222,1892,725
Crime e Castigo (A Obra-prima de cada autor,Fiódor Dostoiévski,Literatura Estrangeira / Ficção / Romance ,4.6,24071,42903,6671,56135,222,2551,6186,1572
A Sutil Arte de Ligar o F*da-se,Manson Mark,Literatura Estrangeira / Não-ficção ,3.7,28026,42239,5741,22800,113,3139,1907,2288
Trono de Vidro #1,Sarah J. Maas,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,4.3,63168,105873,6283,101412,392,1299,10835,7301
É Assim Que Acaba,Colleen Hoover,Drama / Ficção / Jovem adulto / Literatura Estrangeira / Romance ,4.6,158344,246003,18341,183274,669,1253,36692,30783
"Comer, Rezar, Amar",Elizabeth Gilbert,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Romance / Turismo e Viagens ",3.9,17593,33859,1943,11901,87,3948,3040,846
O Menino do Pijama Listrado,John Boyne,Literatura Estrangeira / Romance / Drama / Ficção ,4.4,81352,331003,6657,302101,238,2206,13353,4181
The Kiss of Deception (Crônicas de Amor e Ódio #1),Mary E. Pearson,Fantasia / Jovem adulto / Literatura Estrangeira / Ficção / Romance ,4.2,24780,38091,3678,66570,90,1739,5111,2650
Ensaio Sobre a Cegueira,José Saramago,Ficção / Literatura Estrangeira / Romance ,4.6,31945,68664,3673,54808,124,2116,8241,2268
Precisamos Falar Sobre o Kevin,Lionel Shriver,Crime / Ficção / Literatura Estrangeira / Romance / Drama ,4.5,12208,20932,2480,76796,30,1545,4081,1351
O Príncipe (Classicos de Ouro),Nicolau Maquiavel,Política / Não-ficção / Filosofia / Literatura Estrangeira ,3.9,20947,41644,2758,16356,170,2086,1520,958
A Maldição do Tigre (A Saga do Tigre #1),Colleen Houck,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.3,30014,57630,2009,33606,246,1718,9108,1666
Crepúsculo #1,Stephenie Meyer,Romance / Literatura Estrangeira / Ficção / Fantasia ,3.8,131946,413604,5782,35856,948,6796,17164,5536
Êxtase (Fallen #4),Lauren Kate,Fantasia / Ficção / Literatura Estrangeira / Romance ,4.0,17744,41414,898,75015,44,818,3309,543
O Despertar (Diários do Vampiro #1),L. J. Smith,Ficção / Literatura Estrangeira / Jovem adulto ,3.4,35029,108972,1019,9326,96,1804,2379,980
A Divina Comédia (Obras Primas),Dante Alighieri,"Literatura Estrangeira / Poemas, poesias ",4.2,8708,17640,2795,24731,123,2119,1456,370
"Sussurro (Hush, Hush #01)",Becca Fitzpatrick,Jovem adulto / Literatura Estrangeira / Ficção / Romance ,4.2,52443,130862,1447,30311,286,1018,11693,2490
Corte de Asas e Ruína (Corte de Espinhos e Rosas #3),Sarah Janet Maas,Fantasia / Ficção / Literatura Estrangeira / Romance / Jovem adulto ,4.5,72787,125207,8295,74102,302,1635,15060,8331
O Sol é Para Todos,Harper Lee,Ficção / Literatura Estrangeira ,4.6,28028,49002,3990,128632,75,771,8820,3253
Harry Potter e a Câmara Secreta (Harry Potter #2),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Literatura Estrangeira / Infantojuvenil ,4.4,213752,589444,10917,120094,1148,2322,37954,8581
O Visconde Que Me Amava (Os Bridgertons #2),Julia Quinn,Romance / Ficção / Literatura Estrangeira ,4.4,61905,100563,2234,25841,299,435,11980,7424
Sombra e Ossos (Trilogia Grisha #1),Leigh Bardugo,Fantasia / Ficção / Jovem adulto / Aventura ,3.8,36804,53082,3311,61986,64,1191,2432,6077
Harry Potter e o Prisioneiro de Azkaban (Harry Potter #3),Joanne Kathleen Rowling,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.7,193173,543240,8820,144912,932,1761,51843,8172
Espada de Vidro (A Rainha Vermelha #2),Victoria Aveyard,Fantasia / Ficção / Jovem adulto / Literatura Estrangeira ,3.8,48315,94483,8474,83376,171,3994,4243,4860
O Vendedor de Sonhos #1,Augusto Cury,Ficção / Literatura Brasileira / Romance / Psicologia ,3.8,22908,68406,1879,13889,97,3725,2595,729
Cidade dos Ossos (Os Instrumentos Mortais #1),Cassandra Clare,Aventura / Fantasia / Ficção / LGBT / GLS / Literatura Estrangeira / Romance / Jovem adulto ,4.1,68452,169717,6357,134706,460,3666,12640,4171
Cem anos de solidão,Gabriel García Márquez,Ficção / Literatura Estrangeira / Romance ,4.6,30057,54470,4669,53269,302,2368,10889,2062
Um Dia,David Nicholls,Romance / Literatura Estrangeira / Ficção / Jovem adulto ,4.1,31970,60915,2946,63756,104,3990,7966,1856
Os Ventos do Inverno (Crônicas do Gelo e Fogo #6),George R. R. Martin,Fantasia / Literatura Estrangeira ,4.5,518,5729,230,102244,8,84,378,16
A Batalha do Labirinto (Percy Jackson &amp; Os Olimpianos #4),Rick Riordan,Fantasia / Infantojuvenil / Literatura Estrangeira ,4.5,114495,286268,3350,73322,350,652,19513,4934
O Orfanato da Srta. Peregrine Para Crianças Peculiares #1,Ransom Riggs,Aventura / Fantasia / Ficção / Literatura Estrangeira ,4.0,43036,89994,4562,57061,156,2772,5763,2306
Aristóteles e Dante descobrem os segredos do Universo (Aristóteles e Dante #1),Benjamin Alire Sáenz,Ficção / Jovem adulto / LGBT / GLS / Literatura Estrangeira / Romance ,4.3,48082,71626,3492,69059,216,1022,11650,7593
A Revolução dos Bichos,George Orwell,Ficção / Distopia / Literatura Estrangeira ,4.4,126859,281751,11036,130425,341,2542,17272,12867
Harry Potter e as Relíquias da Morte (Harry Potter #7),Joanne Kathleen Rowling,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,147330,435921,4400,189711,855,1294,42111,5468
